delta_T,PAMP,PW50,mean,std,rms,skewness,kurtosis,band_power_0.5_5Hz,harmonic_ratio,file,segment
0.7506513409961686,28.25268975514399,0.16455259320262736,511.6334161677089,4.584400369763274,511.65395460818075,0.6914155884792329,1.4517130667987237,0.0,0.10517490416800762,signal_01_0001.csv,1
0.7259770114942529,20.81195497066517,0.14490646305409757,512.1570581981058,4.3666909002129914,512.175673232882,1.2959396288331715,0.877682678443882,0.0,0.9314373911198798,signal_01_0001.csv,2
0.6699507389162562,38.012797571854435,0.10322564303571788,513.0616811824981,3.9824706934374134,513.0771372519295,-5.969746036518025,40.513428958696686,0.0,0.27298114416571906,signal_01_0002.csv,1
0.730727969348659,6.937733583998863,0.09547363497786358,513.4311546744319,0.8930631749109963,513.4319313717787,-0.4877944547399298,3.086554383778229,0.0,0.0801777886898641,signal_01_0002.csv,2
0.7557854406130268,20.006025051527786,0.15403245424143128,513.1464228714963,4.820348162636823,513.1690628459802,1.1707514014851919,0.27923564567015857,0.0,0.036729487896360026,signal_01_0003.csv,1
0.7852107279693487,19.002491562660566,0.14650836112352159,512.7278434204576,4.559581585619194,512.7481167228498,1.4156773158214937,1.0084826318655562,0.0,0.17427648170872792,signal_01_0003.csv,2
0.7163218390804597,63.382794627277576,0.15007229333487987,511.81902226388837,7.52208692813807,511.87429447366975,-2.9934787713609587,17.338598982750288,0.0,0.7109655092806171,signal_01_0004.csv,1
0.7085823754789273,23.651249178914156,0.14183162754680328,512.3481968078763,5.007921952973081,512.3726710652797,1.0170323583196208,0.46738429533533443,0.0,0.11416805153150252,signal_01_0004.csv,2
0.7291187739463602,24.380438968037197,0.11260280433832127,511.1356066204678,2.5454870839117705,511.1419449230986,-5.7962981066954855,39.1246077447525,0.0,0.20184276917598007,signal_01_0005.csv,1
0.7685057471264368,4.544904754354036,0.12484504726640686,511.73326339664584,0.8563273296738565,511.7339798792694,0.6167269119482987,0.010936320558392332,0.0,0.27493780230408527,signal_01_0005.csv,2
0.6705418719211823,16.75659104145319,0.13040558610853484,511.7802439450137,1.3436463561524008,511.7820077708361,-2.6840817164769826,24.10452949597557,0.0,0.2126003834566275,signal_01_0006.csv,1
0.7226819923371647,5.809100998889448,0.12180464657397354,512.0227081384984,1.0570867477738703,512.0237993315097,1.041604034774898,0.7317898752792811,0.0,0.06990358665522386,signal_01_0006.csv,2
0.6129885057471265,30.406872182832046,0.11396738061205486,512.7463274797939,4.743077613382523,512.7682645496526,0.21754361206432576,1.5377109304485037,0.0,0.020733085480205422,signal_01_0007.csv,1
0.695894909688013,21.83999637590648,0.13047451830947532,513.2556233506468,4.898755247557686,513.2790008407089,1.2647617608503026,0.6285279524690925,0.0,0.746666940380494,signal_01_0007.csv,2
0.7317241379310344,39.747899159659255,0.13481002246567061,510.91583825092096,5.717921102551168,510.94783334248143,0.1442730468939523,2.4842712245389036,0.0,0.029428665487935376,signal_02_0001.csv,1
0.7593103448275862,19.321796643183404,0.13073708656202498,511.4638866804422,4.636299519133662,511.4848997296942,1.302412459057602,0.718257146606688,0.0,0.1745818652755565,signal_02_0001.csv,2
0.6373727422003285,60.085619153314724,0.13950250202621298,511.77332070206654,8.426642506750818,511.8426907618755,-0.7038656805673875,3.840639367811489,0.0,0.14995288413412866,signal_02_0002.csv,1
0.622200328407225,29.036490067721843,0.13363489437955844,512.170252930781,7.014589931176248,512.2182859475856,0.660706179457255,-0.17227642755517136,0.0,0.12052407937692815,signal_02_0002.csv,2
0.6633825944170771,31.293506081674423,0.1131932255575121,512.2083292569523,7.2997013661261665,512.2603422091477,0.9055644688582369,0.3238316171120914,0.0,0.05742158143701292,signal_02_0003.csv,1
0.6917569786535304,33.295431380095295,0.11569505142475645,512.6238349975698,7.800169301135456,512.6831758978853,0.7984036325979932,0.07151823958862824,0.0,0.06019642553953807,signal_02_0003.csv,2
0.8614252873563218,34.30693786948342,0.1556349122824218,511.2953921669571,5.640174095019075,511.32650001245247,0.8095842954348834,1.454363515215701,0.0,0.40812872985137605,signal_03_0001.csv,1
0.7662835249042147,20.84459444154777,0.13003544608397863,511.5438705823959,5.49533123478659,511.57338691120265,1.533533762968297,0.9485655350027797,0.0,0.6552123336187669,signal_03_0001.csv,2
0.7442145593869731,41.99087182042143,0.16669592952472465,512.0904642382056,4.668398731793385,512.111743187383,-4.381676961669754,27.684192246368703,0.0,0.725233887550501,signal_03_0002.csv,1
0.7442145593869731,11.609866588143404,0.13845647687332527,512.696291912151,2.2872400258478587,512.7013938028697,0.7105660662284844,0.07827025698901435,0.0,0.039140646984754404,signal_03_0002.csv,2
0.7653639846743294,28.961697886698346,0.1321891985997492,511.37604402431674,3.2828303885294665,511.38658114710034,-2.9198244528385393,18.207832157213257,0.0,0.6229260084884211,signal_04_0001.csv,1
0.7644444444444445,14.56884640648542,0.14003288637141242,512.2120213248008,3.4274254692815576,512.2234883671244,1.4725564666038786,0.883965424700675,0.0,0.1080467867150712,signal_04_0001.csv,2
0.7966283524904215,44.54880065233118,0.13103879223265555,511.8242052172259,4.765738642833457,511.8463923005189,-4.844042503288917,31.863456904679552,0.0,0.17559246030576367,signal_04_0002.csv,1
0.9239540229885058,9.03007995650978,0.13492515289651846,512.7101864318324,2.0394951650157056,512.7142428404858,1.4776754975924817,1.1339079687951985,0.0,0.45199026316341645,signal_04_0002.csv,2
0.6667323481116584,21.15551881129562,0.2197554218061781,512.6630559054516,2.08143905367707,512.6672812642234,-6.94914011940764,50.968662089222995,0.0,0.6132954848409293,signal_04_0003.csv,1
